year,population_top_n,problem,perfect_solve_count,perfect_solve_rate,nonzero_score_count,nonzero_score_rate,attempted_count,attempted_rate,average_score,average_score_among_attempts
2004,196,A2,64,0.32653061224489793,93,0.4744897959183674,176,0.8979591836734694,4.25,4.732954545454546
2004,196,A3,148,0.7551020408163265,176,0.8979591836734694,184,0.9387755102040817,8.377551020408163,8.923913043478262
2004,196,A4,23,0.11734693877551021,65,0.33163265306122447,134,0.6836734693877551,1.9948979591836735,2.917910447761194
2004,196,A5,14,0.07142857142857142,16,0.08163265306122448,71,0.3622448979591837,0.7959183673469388,2.1971830985915495
2004,196,A6,7,0.03571428571428571,15,0.07653061224489796,64,0.32653061224489793,0.6683673469387755,2.046875
2004,196,B1,156,0.7959183673469388,166,0.8469387755102041,193,0.9846938775510204,8.214285714285714,8.341968911917098
2004,196,B2,56,0.2857142857142857,158,0.8061224489795918,186,0.9489795918367347,6.5561224489795915,6.908602150537634
2004,196,B3,79,0.4030612244897959,137,0.6989795918367347,172,0.8775510204081632,4.785714285714286,5.453488372093023
2004,196,B4,92,0.46938775510204084,161,0.8214285714285714,180,0.9183673469387755,7.158163265306122,7.794444444444444
2004,196,B5,16,0.08163265306122448,35,0.17857142857142858,97,0.49489795918367346,1.086734693877551,2.195876288659794
2004,196,B6,4,0.02040816326530612,7,0.03571428571428571,65,0.33163265306122447,0.2653061224489796,0.8
2005,196,A1,132,0.673469387755102,169,0.8622448979591837,185,0.9438775510204082,7.88265306122449,8.35135135135135
2005,196,A2,85,0.4336734693877551,171,0.8724489795918368,183,0.9336734693877551,7.158163265306122,7.666666666666667
2005,196,A3,14,0.07142857142857142,31,0.15816326530612246,117,0.5969387755102041,1.0918367346938775,1.829059829059829
2005,196,A4,20,0.10204081632653061,30,0.15306122448979592,85,0.4336734693877551,1.336734693877551,3.0823529411764707
2005,196,A5,10,0.05102040816326531,24,0.12244897959183673,64,0.32653061224489793,1.0,3.0625
2005,196,A6,5,0.025510204081632654,10,0.05102040816326531,75,0.3826530612244898,0.3673469387755102,0.96
2005,196,B1,155,0.7908163265306123,193,0.9846938775510204,196,1.0,9.290816326530612,9.290816326530612
2005,196,B2,148,0.7551020408163265,173,0.8826530612244898,186,0.9489795918367347,8.316326530612244,8.763440860215054
2005,196,B3,23,0.11734693877551021,75,0.3826530612244898,150,0.7653061224489796,3.122448979591837,4.08
2005,196,B4,97,0.49489795918367346,149,0.7602040816326531,176,0.8979591836734694,6.321428571428571,7.0397727272727275
2005,196,B5,4,0.02040816326530612,5,0.025510204081632654,59,0.3010204081632653,0.24489795918367346,0.8135593220338984
2005,196,B6,18,0.09183673469387756,22,0.11224489795918367,63,0.32142857142857145,0.9846938775510204,3.0634920634920637
2006,198,A1,129,0.6515151515151515,151,0.7626262626262627,198,1.0,7.166666666666667,7.166666666666667
2006,198,A2,96,0.48484848484848486,171,0.8636363636363636,198,1.0,7.803030303030303,7.803030303030303
2006,198,A3,63,0.3181818181818182,99,0.5,138,0.696969696969697,4.540404040404041,6.5144927536231885
2006,198,A4,112,0.5656565656565656,138,0.696969696969697,170,0.8585858585858586,6.48989898989899,7.5588235294117645
2006,198,A5,16,0.08080808080808081,32,0.16161616161616163,78,0.3939393939393939,1.1414141414141414,2.8974358974358974
2006,198,A6,1,0.005050505050505051,3,0.015151515151515152,61,0.30808080808080807,0.06060606060606061,0.19672131147540983
2006,198,B1,52,0.26262626262626265,125,0.6313131313131313,155,0.7828282828282829,5.44949494949495,6.961290322580645
2006,198,B2,123,0.6212121212121212,170,0.8585858585858586,183,0.9242424242424242,8.16161616161616,8.830601092896174
2006,198,B3,15,0.07575757575757576,129,0.6515151515151515,162,0.8181818181818182,2.904040404040404,3.549382716049383
2006,198,B4,22,0.1111111111111111,59,0.29797979797979796,150,0.7575757575757576,1.7676767676767677,2.3333333333333335
2006,198,B5,93,0.4696969696969697,123,0.6212121212121212,138,0.696969696969697,5.777777777777778,8.289855072463768
2006,198,B6,6,0.030303030303030304,20,0.10101010101010101,62,0.31313131313131315,0.4898989898989899,1.564516129032258
2007,206,A1,29,0.1407766990291262,173,0.8398058252427184,196,0.9514563106796117,3.825242718446602,4.020408163265306
2007,206,A2,106,0.5145631067961165,174,0.8446601941747572,191,0.9271844660194175,7.242718446601942,7.81151832460733
2007,206,A3,126,0.6116504854368932,181,0.8786407766990292,190,0.9223300970873787,6.621359223300971,7.178947368421053
2007,206,A4,12,0.05825242718446602,57,0.2766990291262136,148,0.7184466019417476,2.063106796116505,2.8716216216216215
2007,206,A5,7,0.03398058252427184,27,0.13106796116504854,118,0.5728155339805825,0.7281553398058253,1.271186440677966
2007,206,A6,3,0.014563106796116505,7,0.03398058252427184,76,0.36893203883495146,0.1650485436893204,0.4473684210526316
2007,206,B1,189,0.9174757281553398,205,0.9951456310679612,205,0.9951456310679612,9.757281553398059,9.804878048780488
2007,206,B2,80,0.3883495145631068,148,0.7184466019417476,182,0.883495145631068,5.077669902912621,5.747252747252747
2007,206,B3,65,0.3155339805825243,107,0.5194174757281553,136,0.6601941747572816,4.213592233009709,6.382352941176471
2007,206,B4,45,0.21844660194174756,66,0.32038834951456313,141,0.6844660194174758,2.820388349514563,4.120567375886525
